url,status,scheme,host,port,latency_ms,ip_version,score,sources,networks,tags,detail
https://tracker.monikadesign.uk/announce/a46be21ab845cc0d534d06fea801f95a,alive,https,tracker.monikadesign.uk,443,202.3,unknown,1073.18,Tunglies TrackersList | animeTrackerList,public,anime,HTTP 200 tracker response
http://216.144.239.90:6969/announce,alive,http,216.144.239.90,6969,179.7,unknown,1073.12,Tunglies TrackersList | ngosang IP literals,public,,HTTP 200 tracker response
http://tracker.anirena.com/b16a15d9a238d1f59178d3614b857290/announce,alive,http,tracker.anirena.com,80,175.7,unknown,1072.06,Tunglies TrackersList | animeTrackerList,public,anime,HTTP 200 tracker response
udp://211.75.210.221:80/announce,alive,udp,211.75.210.221,80,130.0,ipv4,1072.0,ngosang IP literals,public,,BEP 15 connect response
udp://211.75.205.187:6969/announce,alive,udp,211.75.205.187,6969,130.8,ipv4,1071.92,ngosang IP literals,public,,BEP 15 connect response
http://tracker.anirena.com/announcehttp:/tracker1.itzmx.com:8080/announce,alive,http,tracker.anirena.com,80,170.9,unknown,1071.38,Tunglies TrackersList | animeTrackerList,public,anime,HTTP 404 bencoded tracker response
https://bt.beatrice-raws.org/announce,alive,https,bt.beatrice-raws.org,443,246.2,unknown,1069.72,Tunglies TrackersList | animeTrackerList,public,anime,HTTP 200 tracker response
http://www.thetradersden.org/forums/tracker/announce.php,alive,http,www.thetradersden.org,80,248.1,unknown,1069.31,Tunglies TrackersList | animeTrackerList,public,anime,HTTP 200 tracker response
udp://admin.52ywp.com:6969/announce,alive,udp,admin.52ywp.com,6969,210.5,ipv4,1069.13,Salamander Trackers | TrackersList.com | Tunglies TrackersList | XIU2 TrackersListCollection | animeTrackerList | newTrackon all | ngosang all,public,anime,BEP 15 connect response
http://tracker.coppersurfer.site:2710/announce,alive,http,tracker.coppersurfer.site,2710,172.4,unknown,1068.58,Tunglies TrackersList | animeTrackerList,public,anime,HTTP 200 tracker response
http://tracker.trancetraffic.com/announce.php,alive,http,tracker.trancetraffic.com,80,191.9,unknown,1068.52,Tunglies TrackersList | animeTrackerList,public,anime,HTTP 200 tracker response
udp://211.75.205.187:80/announce,alive,udp,211.75.205.187,80,130.6,ipv4,1066.19,Tunglies TrackersList,public,,BEP 15 connect response
http://94.23.207.177:6969/announce,alive,http,94.23.207.177,6969,285.3,unknown,1065.38,Tunglies TrackersList | ngosang IP literals,public,,HTTP 200 tracker response
udp://211.75.205.188:6969/announce,alive,udp,211.75.205.188,6969,131.0,ipv4,1065.1,Tunglies TrackersList,public,,BEP 15 connect response
http://43.250.54.126:6969/announce,alive,http,43.250.54.126,6969,318.3,unknown,1064.96,Tunglies TrackersList | ngosang IP literals,public,,HTTP 200 tracker response
http://37.120.182.83/announce,alive,http,37.120.182.83,80,304.9,unknown,1064.92,Tunglies TrackersList | ngosang IP literals,public,,HTTP 200 tracker response
udp://187.57.131.55:6969/announce,alive,udp,187.57.131.55,6969,182.2,ipv4,1064.78,Tunglies TrackersList,public,,BEP 15 connect response
http://tracker.anirena.com/announce,alive,http,tracker.anirena.com,80,237.7,unknown,1064.67,Tunglies TrackersList | animeTrackerList,public,anime,HTTP 200 tracker response
http://www.xwt-classics.net/announce.php,alive,http,www.xwt-classics.net,80,318.8,unknown,1063.86,Tunglies TrackersList | animeTrackerList,public,anime,HTTP 200 tracker response
http://www.worldboxingvideoarchive.com/announce.php,alive,http,www.worldboxingvideoarchive.com,80,319.0,unknown,1061.09,Tunglies TrackersList | animeTrackerList,public,anime,HTTP 200 tracker response
http://211.75.205.187:6969/announce,alive,http,211.75.205.187,6969,261.6,unknown,1060.45,Tunglies TrackersList | ngosang IP literals,public,,HTTP 200 tracker response
http://211.75.205.188:6969/announce,alive,http,211.75.205.188,6969,261.1,unknown,1060.32,Tunglies TrackersList | ngosang IP literals,public,,HTTP 200 tracker response
http://www.arabp2p.net:2052/f5a1e35785c9f3885fd54f34b6e262b8/announce,alive,http,www.arabp2p.net,2052,158.5,unknown,1060.05,Tunglies TrackersList | animeTrackerList,public,anime,HTTP 200 tracker response
http://187.57.131.55:6969/announce,alive,http,187.57.131.55,6969,349.9,unknown,1059.66,Tunglies TrackersList | ngosang IP literals,public,,HTTP 200 tracker response
http://tracker.zhuqiy.com/announce,alive,http,tracker.zhuqiy.com,80,687.2,unknown,1059.58,Salamander Trackers | TrackersList.com | Tunglies TrackersList | XIU2 TrackersListCollection | ngosang all,public,,HTTP 200 tracker response
http://37.60.249.217:6969/announce,alive,http,37.60.249.217,6969,303.5,unknown,1057.22,Tunglies TrackersList | ngosang IP literals,public,,HTTP 200 tracker response
https://tracker.bug38.com/announce,alive,https,tracker.bug38.com,443,1004.9,unknown,1055.01,Salamander Trackers | TrackersList.com | Tunglies TrackersList | XIU2 TrackersListCollection | newTrackon all,public,,HTTP 200 tracker response
http://tracker.ali213.net:8000/announce,alive,http,tracker.ali213.net,8000,417.1,unknown,1054.49,Tunglies TrackersList | animeTrackerList,public,anime,HTTP 200 tracker response
http://alltorrents.net/bt/announce.php,alive,http,alltorrents.net,80,382.3,unknown,1054.29,Tunglies TrackersList | animeTrackerList,public,anime,HTTP 200 tracker response
http://tracker.minglong.org:8080/announce,alive,http,tracker.minglong.org,8080,301.4,unknown,1053.94,Tunglies TrackersList | animeTrackerList,public,anime,HTTP 200 tracker response
http://tracker.ddunlimited.net:6969/announce,alive,http,tracker.ddunlimited.net,6969,389.3,unknown,1052.64,Tunglies TrackersList | animeTrackerList,public,anime,HTTP 200 tracker response
http://torrent.mp3quran.net/announce.php,alive,http,torrent.mp3quran.net,80,94.7,unknown,1052.33,Tunglies TrackersList | animeTrackerList,public,anime,HTTP 200 tracker response
http://xtremewrestlingtorrents.net/announce.php,alive,http,xtremewrestlingtorrents.net,80,450.1,unknown,1051.8,Tunglies TrackersList | animeTrackerList,public,anime,HTTP 200 tracker response
http://torrent.fedoraproject.org:6969/announce,alive,http,torrent.fedoraproject.org,6969,280.0,unknown,1050.55,Tunglies TrackersList | animeTrackerList,public,anime,HTTP 200 tracker response
http://opentrackr.org:1337/announce,alive,http,opentrackr.org,1337,390.8,unknown,1049.77,Tunglies TrackersList | animeTrackerList,public,anime,HTTP 200 tracker response
http://tracker3.dler.org:2710/announce,alive,http,tracker3.dler.org,2710,272.2,unknown,1049.53,Tunglies TrackersList | animeTrackerList,public,anime,HTTP 200 tracker response
http://t.nyaatracker.com/announce,alive,http,t.nyaatracker.com,80,194.1,unknown,1049.19,Tunglies TrackersList | animeTrackerList,public,anime,HTTP 200 tracker response
http://sukebei.tracker.wf:8888/announce,alive,http,sukebei.tracker.wf,8888,498.1,unknown,1046.03,Tunglies TrackersList | animeTrackerList,public,anime,HTTP 200 tracker response
http://34.66.57.33:11450/announce,alive,http,34.66.57.33,11450,100.4,unknown,1044.96,ngosang IP literals,public,,HTTP 200 tracker response
http://ehtracker.org/2566145/1159106xUfsJkT9Btg/announce,alive,http,ehtracker.org,80,905.4,unknown,1044.37,Tunglies TrackersList | animeTrackerList,public,anime,HTTP 200 tracker response
http://bt.edwardk.info:6767/announce,alive,http,bt.edwardk.info,6767,1275.0,unknown,1041.77,Tunglies TrackersList | animeTrackerList,public,anime,HTTP 200 tracker response
http://tracker.gcvchp.com:2710/announce,alive,http,tracker.gcvchp.com,2710,231.7,unknown,1041.72,Tunglies TrackersList | animeTrackerList,public,anime,HTTP 200 tracker response
http://bt.edwardk.info:676/announce,alive,http,bt.edwardk.info,676,1288.5,unknown,1041.6,Tunglies TrackersList | animeTrackerList,public,anime,HTTP 200 tracker response
http://tracker.acgnx.se/announce,alive,http,tracker.acgnx.se,80,446.7,unknown,1041.34,Tunglies TrackersList | animeTrackerList,public,anime,HTTP 200 tracker response
http://tracker.breizh.pm:6969/announce,alive,http,tracker.breizh.pm,6969,604.1,unknown,1039.59,Tunglies TrackersList | animeTrackerList,public,anime,HTTP 200 tracker response
http://bt.edwardk.info:12891/announce,alive,http,bt.edwardk.info,12891,1300.0,unknown,1039.47,Tunglies TrackersList | animeTrackerList,public,anime,HTTP 200 tracker response
http://bt.edwardk.info:63124/announce,alive,http,bt.edwardk.info,63124,1298.7,unknown,1038.65,Tunglies TrackersList | animeTrackerList,public,anime,HTTP 200 tracker response
http://tracker.pussytorrents.org:3000/announce,alive,http,tracker.pussytorrents.org,3000,320.1,unknown,1037.37,Tunglies TrackersList | animeTrackerList,public,anime,HTTP 200 tracker response
http://ehtracker.org/2496841/announce,alive,http,ehtracker.org,80,995.3,unknown,1036.51,Tunglies TrackersList | animeTrackerList,public,anime,HTTP 200 tracker response
http://bt.edwardk.info:6969/announce,alive,http,bt.edwardk.info,6969,1488.4,unknown,1036.42,Tunglies TrackersList | animeTrackerList,public,anime,HTTP 200 tracker response
http://opentracker.acgnx.se/announce,alive,http,opentracker.acgnx.se,80,492.1,unknown,1035.51,Tunglies TrackersList | animeTrackerList,public,anime,HTTP 200 tracker response
